SHIPMENT CHARGES
Total charge equals units times unit price plus the fixed fee. There are no other charges.

CH-000: units=2; unit price=3; fixed fee=0.
CH-001: units=9; unit price=14; fixed fee=5.
CH-002: units=16; unit price=25; fixed fee=1.
CH-003: units=5; unit price=13; fixed fee=6.
CH-004: units=12; unit price=24; fixed fee=2.
CH-005: units=19; unit price=12; fixed fee=7.
CH-006: units=8; unit price=23; fixed fee=3.
CH-007: units=15; unit price=11; fixed fee=8.
CH-008: units=4; unit price=22; fixed fee=4.
CH-009: units=11; unit price=10; fixed fee=0.
CH-010: units=18; unit price=21; fixed fee=5.
CH-011: units=7; unit price=9; fixed fee=1.
CH-012: units=14; unit price=20; fixed fee=6.
CH-013: units=3; unit price=8; fixed fee=2.
CH-014: units=10; unit price=19; fixed fee=7.
CH-015: units=17; unit price=7; fixed fee=3.
CH-016: units=6; unit price=18; fixed fee=8.
CH-017: units=13; unit price=6; fixed fee=4.
CH-018: units=2; unit price=17; fixed fee=0.
CH-019: units=9; unit price=5; fixed fee=5.
CH-020: units=16; unit price=16; fixed fee=1.
CH-021: units=5; unit price=4; fixed fee=6.
CH-022: units=12; unit price=15; fixed fee=2.
CH-023: units=19; unit price=3; fixed fee=7.
CH-024: units=8; unit price=14; fixed fee=3.
CH-025: units=15; unit price=25; fixed fee=8.
CH-026: units=4; unit price=13; fixed fee=4.
CH-027: units=11; unit price=24; fixed fee=0.
CH-028: units=18; unit price=12; fixed fee=5.
CH-029: units=7; unit price=23; fixed fee=1.
CH-030: units=14; unit price=11; fixed fee=6.
CH-031: units=3; unit price=22; fixed fee=2.
CH-032: units=10; unit price=10; fixed fee=7.
CH-033: units=17; unit price=21; fixed fee=3.
CH-034: units=6; unit price=9; fixed fee=8.
CH-035: units=13; unit price=20; fixed fee=4.
CH-036: units=2; unit price=8; fixed fee=0.
CH-037: units=9; unit price=19; fixed fee=5.
CH-038: units=16; unit price=7; fixed fee=1.
CH-039: units=5; unit price=18; fixed fee=6.
CH-040: units=12; unit price=6; fixed fee=2.
CH-041: units=19; unit price=17; fixed fee=7.
CH-042: units=8; unit price=5; fixed fee=3.
CH-043: units=15; unit price=16; fixed fee=8.
CH-044: units=4; unit price=4; fixed fee=4.
CH-045: units=11; unit price=15; fixed fee=0.
CH-046: units=18; unit price=3; fixed fee=5.
CH-047: units=7; unit price=14; fixed fee=1.
CH-048: units=14; unit price=25; fixed fee=6.
CH-049: units=3; unit price=13; fixed fee=2.
CH-050: units=10; unit price=24; fixed fee=7.
CH-051: units=17; unit price=12; fixed fee=3.
CH-052: units=6; unit price=23; fixed fee=8.
CH-053: units=13; unit price=11; fixed fee=4.
CH-054: units=2; unit price=22; fixed fee=0.
CH-055: units=9; unit price=10; fixed fee=5.
