PACKAGE HANDOFFS
Each arrow is one direct handoff. A two-step chain uses exactly two listed arrows.

H00 -> H01, H05
H01 -> H02, H06
H02 -> H03, H07
H03 -> H04, H08
H04 -> H05, H09
H05 -> H06, H10
H06 -> H07, H11
H07 -> H08, H12
H08 -> H09, H13
H09 -> H10, H14
H10 -> H11, H15
H11 -> H12, H16
H12 -> H13, H17
H13 -> H14, H18
H14 -> H15, H19
H15 -> H16, H20
H16 -> H17, H21
H17 -> H18, H22
H18 -> H19, H23
H19 -> H20, H24
H20 -> H21, H25
H21 -> H22, H26
H22 -> H23, H27
H23 -> H24, H28
H24 -> H25, H29
H25 -> H26, H30
H26 -> H27, H31
H27 -> H28, H32
H28 -> H29, H33
H29 -> H30, H34
H30 -> H31, H35
H31 -> H00, H32
H32 -> H01, H33
H33 -> H02, H34
H34 -> H03, H35
H35 -> H00, H04
