SENSOR PAIRS
Compare the exact readings shown for each pair.

CP-000: alpha=10; beta=9.
CP-001: alpha=29; beta=31.
CP-002: alpha=48; beta=45.
CP-003: alpha=67; beta=71.
CP-004: alpha=86; beta=81.
CP-005: alpha=14; beta=20.
CP-006: alpha=33; beta=26.
CP-007: alpha=52; beta=53.
CP-008: alpha=71; beta=69.
CP-009: alpha=90; beta=93.
CP-010: alpha=18; beta=14.
CP-011: alpha=37; beta=42.
CP-012: alpha=56; beta=50.
CP-013: alpha=75; beta=82.
CP-014: alpha=94; beta=93.
CP-015: alpha=22; beta=24.
CP-016: alpha=41; beta=38.
CP-017: alpha=60; beta=64.
CP-018: alpha=79; beta=74.
CP-019: alpha=98; beta=104.
CP-020: alpha=26; beta=19.
CP-021: alpha=45; beta=46.
CP-022: alpha=64; beta=62.
CP-023: alpha=83; beta=86.
CP-024: alpha=11; beta=7.
CP-025: alpha=30; beta=35.
CP-026: alpha=49; beta=43.
CP-027: alpha=68; beta=75.
CP-028: alpha=87; beta=86.
CP-029: alpha=15; beta=17.
CP-030: alpha=34; beta=31.
CP-031: alpha=53; beta=57.
CP-032: alpha=72; beta=67.
CP-033: alpha=91; beta=97.
CP-034: alpha=19; beta=12.
CP-035: alpha=38; beta=39.
CP-036: alpha=57; beta=55.
CP-037: alpha=76; beta=79.
CP-038: alpha=95; beta=91.
CP-039: alpha=23; beta=28.
CP-040: alpha=42; beta=36.
CP-041: alpha=61; beta=68.
CP-042: alpha=80; beta=79.
CP-043: alpha=99; beta=101.
CP-044: alpha=27; beta=24.
CP-045: alpha=46; beta=50.
CP-046: alpha=65; beta=60.
CP-047: alpha=84; beta=90.
CP-048: alpha=12; beta=5.
CP-049: alpha=31; beta=32.
CP-050: alpha=50; beta=48.
CP-051: alpha=69; beta=72.
CP-052: alpha=88; beta=84.
CP-053: alpha=16; beta=21.
CP-054: alpha=35; beta=29.
CP-055: alpha=54; beta=61.
CP-056: alpha=73; beta=72.
CP-057: alpha=92; beta=94.
CP-058: alpha=20; beta=17.
CP-059: alpha=39; beta=43.
CP-060: alpha=58; beta=53.
CP-061: alpha=77; beta=83.
CP-062: alpha=96; beta=89.
CP-063: alpha=24; beta=25.
CP-064: alpha=43; beta=41.
CP-065: alpha=62; beta=65.
CP-066: alpha=81; beta=77.
CP-067: alpha=100; beta=105.
CP-068: alpha=28; beta=22.
CP-069: alpha=47; beta=54.
CP-070: alpha=66; beta=65.
CP-071: alpha=85; beta=87.
CP-072: alpha=13; beta=10.
CP-073: alpha=32; beta=36.
CP-074: alpha=51; beta=46.
CP-075: alpha=70; beta=76.
CP-076: alpha=89; beta=82.
CP-077: alpha=17; beta=18.
CP-078: alpha=36; beta=34.
CP-079: alpha=55; beta=58.
CP-080: alpha=74; beta=70.
CP-081: alpha=93; beta=98.
CP-082: alpha=21; beta=15.
CP-083: alpha=40; beta=47.
CP-084: alpha=59; beta=58.
CP-085: alpha=78; beta=80.
CP-086: alpha=97; beta=94.
CP-087: alpha=25; beta=29.
CP-088: alpha=44; beta=39.
CP-089: alpha=63; beta=69.
CP-090: alpha=82; beta=75.
CP-091: alpha=10; beta=11.
CP-092: alpha=29; beta=27.
CP-093: alpha=48; beta=51.
CP-094: alpha=67; beta=63.
CP-095: alpha=86; beta=91.
CP-096: alpha=14; beta=8.
CP-097: alpha=33; beta=40.
CP-098: alpha=52; beta=51.
CP-099: alpha=71; beta=73.
CP-100: alpha=90; beta=87.
CP-101: alpha=18; beta=22.
CP-102: alpha=37; beta=32.
CP-103: alpha=56; beta=62.
CP-104: alpha=75; beta=68.
CP-105: alpha=94; beta=95.
CP-106: alpha=22; beta=20.
CP-107: alpha=41; beta=44.
CP-108: alpha=60; beta=56.
CP-109: alpha=79; beta=84.
CP-110: alpha=98; beta=92.
CP-111: alpha=26; beta=33.
CP-112: alpha=45; beta=44.
CP-113: alpha=64; beta=66.
CP-114: alpha=83; beta=80.
CP-115: alpha=11; beta=15.
CP-116: alpha=30; beta=25.
CP-117: alpha=49; beta=55.
CP-118: alpha=68; beta=61.
CP-119: alpha=87; beta=88.
CP-120: alpha=15; beta=13.
CP-121: alpha=34; beta=37.
CP-122: alpha=53; beta=49.
CP-123: alpha=72; beta=77.
CP-124: alpha=91; beta=85.
CP-125: alpha=19; beta=26.
CP-126: alpha=38; beta=37.
CP-127: alpha=57; beta=59.
CP-128: alpha=76; beta=73.
CP-129: alpha=95; beta=99.
CP-130: alpha=23; beta=18.
CP-131: alpha=42; beta=48.
CP-132: alpha=61; beta=54.
CP-133: alpha=80; beta=81.
CP-134: alpha=99; beta=97.
CP-135: alpha=27; beta=30.
CP-136: alpha=46; beta=42.
CP-137: alpha=65; beta=70.
CP-138: alpha=84; beta=78.
CP-139: alpha=12; beta=19.
