PARTS CATALOG
Each row is final. Match the complete part ID exactly.

PX-00-00 | color=blue | zone=B1 | mass=11
PX-00-01 | color=amber | zone=B2 | mass=24
PX-00-02 | color=violet | zone=C1 | mass=37
PX-00-03 | color=ivory | zone=C2 | mass=50
PX-00-04 | color=green | zone=A1 | mass=63
PX-00-05 | color=coral | zone=A2 | mass=76
PX-00-06 | color=blue | zone=B1 | mass=89
PX-00-07 | color=amber | zone=B2 | mass=13
PX-00-08 | color=violet | zone=C1 | mass=26
PX-00-09 | color=ivory | zone=C2 | mass=39
PX-01-00 | color=green | zone=A1 | mass=52
PX-01-01 | color=coral | zone=A2 | mass=65
PX-01-02 | color=blue | zone=B1 | mass=78
PX-01-03 | color=amber | zone=B2 | mass=91
PX-01-04 | color=violet | zone=C1 | mass=15
PX-01-05 | color=ivory | zone=C2 | mass=28
PX-01-06 | color=green | zone=A1 | mass=41
PX-01-07 | color=coral | zone=A2 | mass=54
PX-01-08 | color=blue | zone=B1 | mass=67
PX-01-09 | color=amber | zone=B2 | mass=80
PX-02-00 | color=violet | zone=C1 | mass=93
PX-02-01 | color=ivory | zone=C2 | mass=17
PX-02-02 | color=green | zone=A1 | mass=30
PX-02-03 | color=coral | zone=A2 | mass=43
PX-02-04 | color=blue | zone=B1 | mass=56
PX-02-05 | color=amber | zone=B2 | mass=69
PX-02-06 | color=violet | zone=C1 | mass=82
PX-02-07 | color=ivory | zone=C2 | mass=95
PX-02-08 | color=green | zone=A1 | mass=19
PX-02-09 | color=coral | zone=A2 | mass=32
PX-03-00 | color=blue | zone=B1 | mass=45
PX-03-01 | color=amber | zone=B2 | mass=58
PX-03-02 | color=violet | zone=C1 | mass=71
PX-03-03 | color=ivory | zone=C2 | mass=84
PX-03-04 | color=green | zone=A1 | mass=97
PX-03-05 | color=coral | zone=A2 | mass=21
PX-03-06 | color=blue | zone=B1 | mass=34
PX-03-07 | color=amber | zone=B2 | mass=47
PX-03-08 | color=violet | zone=C1 | mass=60
PX-03-09 | color=ivory | zone=C2 | mass=73
PX-04-00 | color=green | zone=A1 | mass=86
PX-04-01 | color=coral | zone=A2 | mass=99
PX-04-02 | color=blue | zone=B1 | mass=23
PX-04-03 | color=amber | zone=B2 | mass=36
PX-04-04 | color=violet | zone=C1 | mass=49
PX-04-05 | color=ivory | zone=C2 | mass=62
PX-04-06 | color=green | zone=A1 | mass=75
PX-04-07 | color=coral | zone=A2 | mass=88
PX-04-08 | color=blue | zone=B1 | mass=12
PX-04-09 | color=amber | zone=B2 | mass=25
PX-05-00 | color=violet | zone=C1 | mass=38
PX-05-01 | color=ivory | zone=C2 | mass=51
PX-05-02 | color=green | zone=A1 | mass=64
PX-05-03 | color=coral | zone=A2 | mass=77
PX-05-04 | color=blue | zone=B1 | mass=90
PX-05-05 | color=amber | zone=B2 | mass=14
PX-05-06 | color=violet | zone=C1 | mass=27
PX-05-07 | color=ivory | zone=C2 | mass=40
PX-05-08 | color=green | zone=A1 | mass=53
PX-05-09 | color=coral | zone=A2 | mass=66
PX-06-00 | color=blue | zone=B1 | mass=79
PX-06-01 | color=amber | zone=B2 | mass=92
PX-06-02 | color=violet | zone=C1 | mass=16
PX-06-03 | color=ivory | zone=C2 | mass=29
PX-06-04 | color=green | zone=A1 | mass=42
PX-06-05 | color=coral | zone=A2 | mass=55
PX-06-06 | color=blue | zone=B1 | mass=68
PX-06-07 | color=amber | zone=B2 | mass=81
PX-06-08 | color=violet | zone=C1 | mass=94
PX-06-09 | color=ivory | zone=C2 | mass=18
PX-07-00 | color=green | zone=A1 | mass=31
PX-07-01 | color=coral | zone=A2 | mass=44
PX-07-02 | color=blue | zone=B1 | mass=57
PX-07-03 | color=amber | zone=B2 | mass=70
PX-07-04 | color=violet | zone=C1 | mass=83
PX-07-05 | color=ivory | zone=C2 | mass=96
PX-07-06 | color=green | zone=A1 | mass=20
PX-07-07 | color=coral | zone=A2 | mass=33
PX-07-08 | color=blue | zone=B1 | mass=46
PX-07-09 | color=amber | zone=B2 | mass=59
PX-08-00 | color=violet | zone=C1 | mass=72
PX-08-01 | color=ivory | zone=C2 | mass=85
PX-08-02 | color=green | zone=A1 | mass=98
PX-08-03 | color=coral | zone=A2 | mass=22
PX-08-04 | color=blue | zone=B1 | mass=35
PX-08-05 | color=amber | zone=B2 | mass=48
PX-08-06 | color=violet | zone=C1 | mass=61
PX-08-07 | color=ivory | zone=C2 | mass=74
PX-08-08 | color=green | zone=A1 | mass=87
PX-08-09 | color=coral | zone=A2 | mass=11
PX-09-00 | color=blue | zone=B1 | mass=24
PX-09-01 | color=amber | zone=B2 | mass=37
PX-09-02 | color=violet | zone=C1 | mass=50
PX-09-03 | color=ivory | zone=C2 | mass=63
PX-09-04 | color=green | zone=A1 | mass=76
PX-09-05 | color=coral | zone=A2 | mass=89
PX-09-06 | color=blue | zone=B1 | mass=13
PX-09-07 | color=amber | zone=B2 | mass=26
PX-09-08 | color=violet | zone=C1 | mass=39
PX-09-09 | color=ivory | zone=C2 | mass=52
PX-10-00 | color=green | zone=A1 | mass=65
PX-10-01 | color=coral | zone=A2 | mass=78
PX-10-02 | color=blue | zone=B1 | mass=91
PX-10-03 | color=amber | zone=B2 | mass=15
PX-10-04 | color=violet | zone=C1 | mass=28
PX-10-05 | color=ivory | zone=C2 | mass=41
PX-10-06 | color=green | zone=A1 | mass=54
PX-10-07 | color=coral | zone=A2 | mass=67
PX-10-08 | color=blue | zone=B1 | mass=80
PX-10-09 | color=amber | zone=B2 | mass=93
PX-11-00 | color=violet | zone=C1 | mass=17
PX-11-01 | color=ivory | zone=C2 | mass=30
PX-11-02 | color=green | zone=A1 | mass=43
PX-11-03 | color=coral | zone=A2 | mass=56
PX-11-04 | color=blue | zone=B1 | mass=69
PX-11-05 | color=amber | zone=B2 | mass=82
PX-11-06 | color=violet | zone=C1 | mass=95
PX-11-07 | color=ivory | zone=C2 | mass=19
PX-11-08 | color=green | zone=A1 | mass=32
PX-11-09 | color=coral | zone=A2 | mass=45
PX-12-00 | color=blue | zone=B1 | mass=58
PX-12-01 | color=amber | zone=B2 | mass=71
PX-12-02 | color=violet | zone=C1 | mass=84
PX-12-03 | color=ivory | zone=C2 | mass=97
PX-12-04 | color=green | zone=A1 | mass=21
PX-12-05 | color=coral | zone=A2 | mass=34
PX-12-06 | color=blue | zone=B1 | mass=47
PX-12-07 | color=amber | zone=B2 | mass=60
