PERMIT WINDOWS
A permit is active from its start day through its end day, inclusive.

PM-000: start day 1; end day 4.
PM-001: start day 8; end day 16.
PM-002: start day 15; end day 28.
PM-003: start day 22; end day 25.
PM-004: start day 29; end day 37.
PM-005: start day 36; end day 49.
PM-006: start day 43; end day 46.
PM-007: start day 50; end day 58.
PM-008: start day 57; end day 70.
PM-009: start day 4; end day 7.
PM-010: start day 11; end day 19.
PM-011: start day 18; end day 31.
PM-012: start day 25; end day 28.
PM-013: start day 32; end day 40.
PM-014: start day 39; end day 52.
PM-015: start day 46; end day 49.
PM-016: start day 53; end day 61.
PM-017: start day 60; end day 73.
PM-018: start day 7; end day 10.
PM-019: start day 14; end day 22.
PM-020: start day 21; end day 34.
PM-021: start day 28; end day 31.
PM-022: start day 35; end day 43.
PM-023: start day 42; end day 55.
PM-024: start day 49; end day 52.
PM-025: start day 56; end day 64.
PM-026: start day 3; end day 16.
PM-027: start day 10; end day 13.
PM-028: start day 17; end day 25.
PM-029: start day 24; end day 37.
PM-030: start day 31; end day 34.
PM-031: start day 38; end day 46.
PM-032: start day 45; end day 58.
PM-033: start day 52; end day 55.
PM-034: start day 59; end day 67.
PM-035: start day 6; end day 19.
PM-036: start day 13; end day 16.
PM-037: start day 20; end day 28.
PM-038: start day 27; end day 40.
PM-039: start day 34; end day 37.
PM-040: start day 41; end day 49.
PM-041: start day 48; end day 61.
PM-042: start day 55; end day 58.
PM-043: start day 2; end day 10.
PM-044: start day 9; end day 22.
PM-045: start day 16; end day 19.
PM-046: start day 23; end day 31.
PM-047: start day 30; end day 43.
PM-048: start day 37; end day 40.
PM-049: start day 44; end day 52.
PM-050: start day 51; end day 64.
PM-051: start day 58; end day 61.
PM-052: start day 5; end day 13.
PM-053: start day 12; end day 25.
PM-054: start day 19; end day 22.
PM-055: start day 26; end day 34.
PM-056: start day 33; end day 46.
PM-057: start day 40; end day 43.
PM-058: start day 47; end day 55.
PM-059: start day 54; end day 67.
PM-060: start day 1; end day 4.
PM-061: start day 8; end day 16.
PM-062: start day 15; end day 28.
PM-063: start day 22; end day 25.
PM-064: start day 29; end day 37.
PM-065: start day 36; end day 49.
PM-066: start day 43; end day 46.
PM-067: start day 50; end day 58.
PM-068: start day 57; end day 70.
PM-069: start day 4; end day 7.
PM-070: start day 11; end day 19.
PM-071: start day 18; end day 31.
PM-072: start day 25; end day 28.
PM-073: start day 32; end day 40.
PM-074: start day 39; end day 52.
PM-075: start day 46; end day 49.
PM-076: start day 53; end day 61.
PM-077: start day 60; end day 73.
PM-078: start day 7; end day 10.
PM-079: start day 14; end day 22.
PM-080: start day 21; end day 34.
PM-081: start day 28; end day 31.
PM-082: start day 35; end day 43.
PM-083: start day 42; end day 55.
PM-084: start day 49; end day 52.
PM-085: start day 56; end day 64.
PM-086: start day 3; end day 16.
PM-087: start day 10; end day 13.
PM-088: start day 17; end day 25.
PM-089: start day 24; end day 37.
PM-090: start day 31; end day 34.
PM-091: start day 38; end day 46.
PM-092: start day 45; end day 58.
PM-093: start day 52; end day 55.
PM-094: start day 59; end day 67.
PM-095: start day 6; end day 19.
PM-096: start day 13; end day 16.
PM-097: start day 20; end day 28.
PM-098: start day 27; end day 40.
PM-099: start day 34; end day 37.
PM-100: start day 41; end day 49.
PM-101: start day 48; end day 61.
PM-102: start day 55; end day 58.
PM-103: start day 2; end day 10.
PM-104: start day 9; end day 22.
PM-105: start day 16; end day 19.
PM-106: start day 23; end day 31.
PM-107: start day 30; end day 43.
PM-108: start day 37; end day 40.
PM-109: start day 44; end day 52.
PM-110: start day 51; end day 64.
PM-111: start day 58; end day 61.
PM-112: start day 5; end day 13.
PM-113: start day 12; end day 25.
PM-114: start day 19; end day 22.
PM-115: start day 26; end day 34.
PM-116: start day 33; end day 46.
PM-117: start day 40; end day 43.
PM-118: start day 47; end day 55.
PM-119: start day 54; end day 67.
