MACHINE BOOKINGS
Two inclusive bookings conflict when they share at least one minute.

BK-000: first=30-40; second=40-48.
BK-001: first=47-58; second=60-69.
BK-002: first=64-76; second=74-84.
BK-003: first=81-94; second=98-109.
BK-004: first=98-112; second=108-120.
BK-005: first=115-130; second=136-149.
BK-006: first=132-148; second=147-161.
BK-007: first=149-166; second=174-189.
BK-008: first=166-184; second=181-197.
BK-009: first=183-202; second=203-220.
BK-010: first=200-220; second=220-238.
BK-011: first=217-238; second=241-260.
BK-012: first=234-256; second=254-274.
BK-013: first=251-274; second=279-300.
BK-014: first=268-292; second=288-310.
BK-015: first=285-310; second=317-340.
BK-016: first=302-328; second=327-351.
BK-017: first=319-346; second=355-380.
BK-018: first=336-364; second=361-387.
BK-019: first=353-382; second=384-411.
BK-020: first=370-400; second=400-408.
BK-021: first=387-418; second=422-431.
BK-022: first=404-436; second=434-444.
BK-023: first=421-454; second=460-471.
BK-024: first=438-472; second=468-480.
BK-025: first=455-490; second=498-511.
BK-026: first=472-508; second=507-521.
BK-027: first=489-526; second=527-542.
BK-028: first=506-544; second=541-557.
BK-029: first=523-562; second=565-582.
BK-030: first=40-50; second=50-68.
BK-031: first=57-68; second=73-92.
BK-032: first=74-86; second=84-104.
BK-033: first=91-104; second=111-132.
BK-034: first=108-122; second=118-140.
BK-035: first=125-140; second=149-172.
BK-036: first=142-158; second=157-181.
BK-037: first=159-176; second=178-203.
BK-038: first=176-194; second=191-217.
BK-039: first=193-212; second=216-243.
BK-040: first=210-230; second=230-238.
BK-041: first=227-248; second=254-263.
BK-042: first=244-266; second=264-274.
BK-043: first=261-284; second=292-303.
BK-044: first=278-302; second=298-310.
BK-045: first=295-320; second=321-334.
BK-046: first=312-338; second=337-351.
BK-047: first=329-356; second=359-374.
BK-048: first=346-374; second=371-387.
BK-049: first=363-392; second=397-414.
BK-050: first=380-410; second=410-428.
BK-051: first=397-428; second=435-454.
BK-052: first=414-446; second=444-464.
BK-053: first=431-464; second=473-494.
BK-054: first=448-482; second=478-500.
BK-055: first=465-500; second=502-525.
BK-056: first=482-518; second=517-541.
BK-057: first=499-536; second=540-565.
BK-058: first=516-554; second=551-577.
BK-059: first=33-72; second=78-105.
BK-060: first=50-60; second=60-68.
BK-061: first=67-78; second=86-95.
BK-062: first=84-96; second=94-104.
BK-063: first=101-114; second=115-126.
BK-064: first=118-132; second=128-140.
BK-065: first=135-150; second=153-166.
BK-066: first=152-168; second=167-181.
BK-067: first=169-186; second=191-206.
BK-068: first=186-204; second=201-217.
BK-069: first=203-222; second=229-246.
BK-070: first=220-240; second=240-258.
BK-071: first=237-258; second=267-286.
BK-072: first=254-276; second=274-294.
BK-073: first=271-294; second=296-317.
BK-074: first=288-312; second=308-330.
BK-075: first=305-330; second=334-357.
BK-076: first=322-348; second=347-371.
BK-077: first=339-366; second=372-397.
BK-078: first=356-384; second=381-407.
BK-079: first=373-402; second=410-437.
BK-080: first=390-420; second=420-428.
BK-081: first=407-438; second=439-448.
BK-082: first=424-456; second=454-464.
BK-083: first=441-474; second=477-488.
BK-084: first=458-492; second=488-500.
BK-085: first=475-510; second=515-528.
BK-086: first=492-528; second=527-541.
BK-087: first=509-546; second=553-568.
BK-088: first=526-564; second=561-577.
BK-089: first=43-82; second=91-108.
BK-090: first=60-70; second=70-88.
BK-091: first=77-88; second=90-109.
BK-092: first=94-106; second=104-124.
BK-093: first=111-124; second=128-149.
BK-094: first=128-142; second=138-160.
BK-095: first=145-160; second=166-189.
BK-096: first=162-178; second=177-201.
BK-097: first=179-196; second=204-229.
BK-098: first=196-214; second=211-237.
BK-099: first=213-232; second=233-260.
BK-100: first=230-250; second=250-258.
BK-101: first=247-268; second=271-280.
BK-102: first=264-286; second=284-294.
BK-103: first=281-304; second=309-320.
BK-104: first=298-322; second=318-330.
BK-105: first=315-340; second=347-360.
BK-106: first=332-358; second=357-371.
BK-107: first=349-376; second=385-400.
BK-108: first=366-394; second=391-407.
BK-109: first=383-412; second=414-431.
BK-110: first=400-430; second=430-448.
BK-111: first=417-448; second=452-471.
BK-112: first=434-466; second=464-484.
BK-113: first=451-484; second=490-511.
BK-114: first=468-502; second=498-520.
BK-115: first=485-520; second=528-551.
BK-116: first=502-538; second=537-561.
BK-117: first=519-556; second=557-582.
BK-118: first=36-74; second=71-97.
BK-119: first=53-92; second=95-122.
