EXPORT RELEASE RULES
Release is allowed only if inspection passed and payment cleared.
Cold cargo additionally requires a temperature certificate.
Hazardous cargo additionally requires both a permit and an escort.
A director waiver replaces only the payment requirement; it replaces no other requirement.

EX-135: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-037: inspection=no; payment=no; cold=no; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-019: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=yes.
EX-140: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-055: inspection=yes; payment=no; cold=no; certificate=no; hazardous=no; permit=yes; escort=no; waiver=yes.
EX-002: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=no.
EX-011: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-072: inspection=no; payment=yes; cold=yes; certificate=no; hazardous=yes; permit=no; escort=yes; waiver=no.
EX-059: inspection=yes; payment=no; cold=no; certificate=no; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-129: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-121: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-070: inspection=yes; payment=no; cold=yes; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-153: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-143: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-068: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-136: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-139: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-150: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-043: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-058: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-050: inspection=no; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=no; waiver=yes.
EX-069: inspection=yes; payment=no; cold=yes; certificate=no; hazardous=yes; permit=yes; escort=no; waiver=no.
EX-032: inspection=no; payment=no; cold=yes; certificate=no; hazardous=yes; permit=no; escort=yes; waiver=yes.
EX-128: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-145: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-146: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-133: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-104: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=yes.
EX-001: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=no.
EX-003: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-099: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-063: inspection=no; payment=no; cold=yes; certificate=no; hazardous=no; permit=yes; escort=no; waiver=no.
EX-062: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=no; waiver=no.
EX-009: inspection=no; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=no; waiver=no.
EX-027: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=yes; permit=no; escort=yes; waiver=no.
EX-025: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-024: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=no; permit=no; escort=yes; waiver=no.
EX-021: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=yes.
EX-042: inspection=no; payment=yes; cold=yes; certificate=no; hazardous=yes; permit=no; escort=no; waiver=yes.
EX-074: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-122: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-126: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-123: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-124: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-010: inspection=no; payment=no; cold=no; certificate=yes; hazardous=yes; permit=no; escort=yes; waiver=no.
EX-033: inspection=no; payment=no; cold=yes; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-149: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-014: inspection=yes; payment=no; cold=yes; certificate=no; hazardous=yes; permit=yes; escort=no; waiver=yes.
EX-026: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=no.
EX-023: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=no; permit=no; escort=no; waiver=no.
EX-156: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-048: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=no; escort=yes; waiver=no.
EX-029: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=no; escort=no; waiver=no.
EX-127: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-040: inspection=no; payment=no; cold=no; certificate=no; hazardous=no; permit=yes; escort=no; waiver=no.
EX-056: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=no.
EX-044: inspection=yes; payment=no; cold=no; certificate=no; hazardous=yes; permit=yes; escort=no; waiver=no.
EX-125: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-144: inspection=yes; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-000: inspection=no; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-049: inspection=yes; payment=yes; cold=yes; certificate=no; hazardous=no; permit=no; escort=yes; waiver=no.
EX-130: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-005: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-061: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=yes; waiver=no.
EX-013: inspection=yes; payment=yes; cold=no; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-152: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=no.
EX-034: inspection=no; payment=yes; cold=no; certificate=no; hazardous=no; permit=no; escort=no; waiver=no.
EX-137: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-079: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-073: inspection=yes; payment=yes; cold=no; certificate=no; hazardous=yes; permit=no; escort=no; waiver=no.
EX-039: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=yes.
EX-158: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-157: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-087: inspection=yes; payment=yes; cold=no; certificate=yes; hazardous=yes; permit=yes; escort=yes; waiver=yes.
EX-038: inspection=no; payment=no; cold=no; certificate=no; hazardous=no; permit=no; escort=yes; waiver=yes.
EX-151: inspection=yes; payment=no; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=yes.
EX-067: inspection=no; payment=yes; cold=yes; certificate=yes; hazardous=yes; permit=yes; escort=no; waiver=yes.
EX-004: inspection=no; payment=yes; cold=yes; certificate=yes; hazardous=no; permit=no; escort=no; waiver=yes.
EX-066: inspection=yes; payment=no; cold=yes; certificate=no; hazardous=yes; permit=yes; escort=no; waiver=no.
EX-018: inspection=no; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-045: inspection=yes; payment=no; cold=yes; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
EX-012: inspection=no; payment=yes; cold=no; certificate=yes; hazardous=no; permit=yes; escort=yes; waiver=no.
